new entry "Cone_Buckshot_Cone"
type "SkillData"
data "SkillType" "Cone"
data "Level" "0"
data "Damage" "AverageLevelDamge"
data "Damage Multiplier" "110"
data "Damage Range" "10"
data "DamageType" "Fire"
data "SkillProperties" "EXPLODE,100,0,Projectile_TODO"
data "Range" "7"
data "Angle" "35"
data "DeathType" "Incinerate"
data "SurfaceType" "Fire"
data "SurfaceStatusChance" "100"
data "SurfaceGrowStep" "4"
data "SurfaceGrowInterval" "15"
data "TargetConditions" "!Dead"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "Icon" "Skill_Fire_FlameBreath"
data "DisplayName" "Cone_Buckshot_Cone_DisplayName"
data "DisplayNameRef" "Dragon's Blaze"
data "Description" "Cone_Buckshot_Cone_Description"
data "DescriptionRef" "|Breathe flames in a cone, dealing [1] damage to all non-allied characters and leaving fire clouds behind.|"
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_fire_01_start"
data "PrepareAnimationLoop" "skill_prepare_fire_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_Fire_Hand_02:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_cone_fire_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Fire_Flamebreath_Fire_01:Dummy_OverheadFX;RS3_FX_Skills_Fire_Flamebreath_CastHands_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "BackStart" "8"
data "FrontOffset" "1"
data "CycleConditions" "Enemy"

