new entry "BUCKSHOT_STUNNED"
type "StatusData"
data "StatusType" "INCAPACITATED"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "BUCKSHOT_STUNNED_DisplayName"
data "DisplayNameRef" "Knocked Down"
data "Description" "BUCKSHOT_STUNNED_Description"
data "DescriptionRef" "Character was blasted away by Buckshot. Cured by Magic Shell, Bless."
data "Icon" "statIcons_KnockedDown"
data "FormatColor" "White"
data "StatusEffect" "RS3_FX_GP_Status_KnockedDown_01:Dummy_StatusFX"
data "SavingThrow" "PhysicalArmor"
data "ImmuneFlag" "KnockdownImmunity"
data "StatsId" "Stats_KnockedDown"
data "FreezeTime" "0"

